n,source_count,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree
32,5,0.8104363359380609,-5.85198267217188,-71.78580384880402,0.8104363359380609,-88.0,-180.0,-168.30289577915386
27,5,0.8791826571887449,-61.89231153565627,2.9398098392221264,0.8498266838042531,-64.0,0.0,417.0798978090685
20,5,0.9425414322508888,50.67771324132533,-169.23534188786476,0.9421927450812125,-48.0,12.0,-225.64750764691922
24,5,0.8648092404199879,33.29708138059565,-5.822829144544529,0.8645039350166766,-40.0,168.0,-49.11087814718607
18,5,0.6518444700654524,19.556773330566518,-149.69563057971533,0.6804023140011033,-40.0,-116.0,33.23371127524875
32,5,0.7814916353285859,-24.07932944557711,-36.87575137620951,0.7814915845529968,-36.0,168.0,-50.31711956418561
24,5,0.8648092404199879,33.29708138059605,-5.822829144544565,0.8645039350166767,-40.0,168.0,-49.110878147186106
12,5,0.7246485264516331,9.720142962944013,85.83555754802032,0.7234172160276828,-8.0,-96.0,-22.97174186566021
15,5,0.922465391448385,73.60860905494077,-48.284981472154065,0.9224650764097351,-60.0,28.0,-76.6975771401786
32,5,0.7418066127739511,-13.597393356996315,-91.55750956961909,0.7418066127739511,-88.0,-180.0,-65.54721127571811
25,5,0.8531579572642105,1.1702727716596397,-3.4141097243422216,0.8531472040611203,-24.0,172.0,-55.10044568588432
21,5,0.8727635945512149,-62.43493801372898,2.2013478652312695,0.8622670186905604,-64.0,0.0,406.7099118929032
15,5,0.931277683760185,33.29708138059601,-5.822829144544533,0.9308423094761543,-40.0,168.0,-48.85094165900666
23,5,0.8747035594136154,-24.079329445577045,-36.87575137620956,0.8747034971439602,-36.0,168.0,-50.321367005812945
23,5,0.8747035594136154,-24.079329445577102,-36.875751376209486,0.8747034971439602,-36.0,168.0,-50.32136700581289
14,5,0.39872746553552496,-46.941865360306316,-73.84508619248716,0.18001240310598687,52.0,112.0,-143.80854594650896
18,5,0.6518444700654524,19.55677333056643,-149.6956305797153,0.6804023140011033,-40.0,-116.0,33.233711275248744
17,5,0.9471002215945034,-53.21816001317917,-66.35406372596053,0.9458295488016456,-56.0,-60.0,112.0964241975194
23,5,0.8747035594136154,-24.079329445577148,-36.87575137620944,0.8747034971439602,-36.0,168.0,-50.32136700581293
18,5,0.9455217435029014,41.653303492343696,-165.51459369848249,0.9437954728279084,-40.0,16.0,-132.95806008637513
16,5,0.9330974955716668,1.170272771659595,-3.4141097243421767,0.9330847754133933,-24.0,172.0,-55.02360543266949
15,5,0.922465391448385,73.60860905494074,-48.2849814721543,0.9224650764097351,-60.0,28.0,-76.69757714017857
15,5,0.922465391448385,73.60860905494074,-48.2849814721543,0.9224650764097351,-60.0,28.0,-76.69757714017857
15,5,0.9437257866474085,1.1702727716596157,-3.414109724342186,0.94371868300527,-24.0,172.0,-54.96572972053022
33,5,0.7631011563385998,1.1702727716597008,-3.4141097243422664,0.7630932698829131,-24.0,172.0,-55.04767952989943
15,5,0.7449722971781408,62.19153287601797,172.75249080948905,0.6810384923335506,60.0,148.0,85.83363959244568
18,5,0.6518444700654524,19.556773330566518,-149.69563057971533,0.6804023140011033,-40.0,-116.0,33.23371127524875
17,5,0.9471002215945034,-53.21816001317916,-66.35406372596061,0.9458295488016456,-56.0,-60.0,112.09642419751941
12,5,0.798483223025496,62.19153287601795,172.75249080948913,0.7466889299261082,-60.0,-36.0,-81.45041959839783
14,5,0.942537142679699,-24.079329445577116,-36.87575137620948,0.9425370628222688,-36.0,168.0,-50.31671414830514
29,5,0.9416222720970107,50.32219368389435,177.51413205601543,0.9411709676995968,-48.0,4.0,-232.29205728394516
19,5,0.943396012116813,41.70996250578832,-165.52148298822516,0.94128623014113,-40.0,16.0,-131.86092511285875
26,5,0.9264098899214559,-53.141496201405005,-66.66404435987562,0.9254661729885922,-52.0,-72.0,84.98229227559611
17,5,0.9487910669543271,50.32219368389454,177.514132056016,0.9478766868775815,-48.0,4.0,-230.0709025756075
15,5,0.7449722971781408,62.19153287601794,172.75249080948907,0.6810384923335506,-60.0,-32.0,-85.83363959244565
18,5,0.6518444700654527,19.556773330566475,-149.6956305797153,0.6804023140011033,-40.0,-116.0,33.233711275248744
29,5,0.9432244396991534,45.72255454397058,-139.72652293941937,0.941901079512717,-28.0,56.0,-127.11646230911981
23,5,0.888349503194331,-24.079329445577113,-36.87575137620955,0.8883494545248101,-36.0,168.0,-50.313241452504236
