axis_lat,axis_lon,r2,slope_m_per_unit_vector,intercept,rmse,mae,name,axial_distance_from_empirical_deg
-37.202743453729774,-110.77378223734581,0.002465255971691893,2.758191258097543,19.6762921546489,33.54243959934884,19.247328580811484,empirical_littoral_axis,0.0
37.202743453729774,69.22621776265419,0.002465255971691893,-2.7581912580975434,19.67629215464889,33.54243959934884,19.247328580811484,empirical_antipode,0.0
0.0,77.0,0.0018462483824113196,-2.452710004194027,19.399116363951887,33.552845154012516,19.37236824050748,equatorial_077E,37.89096006585041
0.0,75.0,0.001856731034742598,-2.468013510384893,19.413359625068473,33.5526689668603,19.37236625071677,equatorial_075E,37.58398132239856
0.0,31.0,0.001170284519696474,-2.2346990074645103,20.028808941406847,33.56420446222905,19.555347143449126,ecdo_031E_equatorial,51.265657921517146
0.0,-149.0,0.001170284519696474,2.2346990074645134,20.028808941406847,33.56420446222905,19.555347143449126,ecdo_149W_equatorial,51.26565792151713
0.0,170.0,7.505655117756582e-06,0.1853493390401977,20.206746857227454,33.583735516974606,19.747561133874182,excursion_170E_equatorial,81.43731466573685
0.0,-10.0,7.505655117756582e-06,-0.18534933904019668,20.206746857227454,33.583735516974606,19.747561133874186,excursion_010W_equatorial,81.43731466573685
0.0,0.0,0.00013622255792444804,-0.7994192235501523,20.281382172321354,33.58157403398396,19.741065632393596,null_000E_equatorial,73.59039354416717
0.0,90.0,0.0017069451155901083,-2.3280824723304683,19.34406073845002,33.55518640548165,19.387445089113545,null_090E_equatorial,41.86503950764623
0.0,180.0,0.00013622255792444804,0.7994192235501513,20.28138217232135,33.58157403398396,19.741065632393596,null_180E_equatorial,73.59039354416718
